,Dateiname,Textnummer,Zeichenanzahl,Titel,Bibliographischer Nachweis,Sprache,Erscheinungsort,Jahr,Postume Nachdrucke,Entsprechungen in Buchwerken,lat,lng
292,1804-Sur_les_variations-2,II.27,54478.0,On the Variations of the Terrestrial Magnetism in different Latitudes,"in: The Philosophical Magazine 22:87 (August 1805), S. 248–257; 22:88 (September 1805), 299–308, Tafel.",Englisch,London,1805,,,51.50853,-0.12574
293,1804-Sur_les_variations-3,II.27,41049.0,Memoria sobre las variaciones del magnetismo terestre á diferentes latitudes,"in: Variedades de ciencias, literatura y artes 2:10 (1805), S. 211–223; 2:11 (1805), S. 274–290.",Spanisch,Madrid,1805,,,40.4165,-3.70256
294,1804-Sur_les_variations-4,II.27,54505.0,Ueber die Variationen des Magnetismus der Erde in verschiedenen Breiten,"in: Annalen der Physik 20:3 (1805), S. 257–298, Tafel.",Deutsch,Halle,1805,,,51.48158,11.97947
295,1804-xxx_Brief_an_Carl-1-neu,II.28,4869.0,[Brief an Johann Carl Freiesleben],"in: Kaiserlich und Kurpfalzbairisch privilegirte Allgemeine Zeitung 323 (18. November 1804), S. [1289].",Deutsch,Stuttgart,1804,,,48.78232,9.17702
296,1804-xxx_Brief_an_Carl-2-neu,II.28,2594.0,Von Humbold,"in: Patriotisches Tageblatt oder öffentliches Correspondenz- und Anzeige-Blatt 9:103 (26. Dezember 1804), S. 1388–1389.",Deutsch,Brünn,1804,,,49.19522,16.60796
297,1804-xxx_Lettre_de_Bordeaux-1,II.29,1888.0,[Lettre de Bordeaux],"in: Gazette Nationale ou le Moniteur Universel 332 (2 Fructidor an 12, 20. August 1804), S. [1463].",Französisch,Paris,1804,,,48.85341,2.3488
298,1804-xxx_Lettre_de_Bordeaux-2-neu,II.29,1858.0,[Lettre de Bordeaux],"in: Journal du commerce 315 (6 Fructidor an XII, 24. August 1804), [o. S.].",Französisch,Gent,1804,,,51.05,3.71667
299,1804-xxx_Lettre_de_Bordeaux-3-neu,II.29,1734.0,[Lettre de Bordeaux],"in: Kaiserlich und Kurpfalzbairisch privilegirte Allgemeine Zeitung 240 (27. August 1804), S. 958–959.",Deutsch,Stuttgart,1804,,,48.78232,9.17702
300,1804-xxx_Lettre_de_Bordeaux-4-neu,II.29,1769.0,[Lettre de Bordeaux],"in: Kurpfalzbaierische Münchner Staats-Zeitung 5:203 (28. August 1804), S. [831]–832.",Deutsch,München,1804,,,48.13743,11.57549
301,1804-xxx_Lettre_de_Bordeaux-5-neu,II.29,1780.0,[Lettre de Bordeaux],"in: Staats- und Gelehrte Zeitung des Hamburgischen unpartheyischen Correspondenten 137 (28. August 1804), S. [3].",Deutsch,Hamburg,1804,,,53.55073,9.99302
302,1804-xxx_Lettre_de_Bordeaux-6-neu,II.29,1778.0,[Lettre de Bordeaux],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 146 (12. September 1804), Sp. 1179.",Deutsch,Halle; Leipzig,1804,,,51.48158,11.97947
303,1805-Antrittsrede_gehalten_bei-1,II.30,4056.0,Antrittsrede gehalten bei seiner Einführung in die Königl. Preuss. Akademie der Wissenschaften. Von Alexander von Humboldt. (Ein Abdruck für Freunde),"in: Separatum, [Berlin 1805], 6 Seiten.",Deutsch,Berlin,1805,,,52.52437,13.41053
304,1805-Experiences_sur_la-1,II.31,9838.0,Expériences sur la torpille,"in: Annales de chimie 56:1 (30 Vendémiaire an 14 [22. Oktober 1805]), S. 15–23.",Französisch,Paris,1805,,,48.85341,2.3488
305,1805-Experiences_sur_la-2-neu,II.31,5920.0,Sur les commotions électriques produites par la torpille,"in: L’Esprit des Journaux français et étrangers 3 (Frimaire an 14, November 1805), S. 145–149.",Französisch,Brüssel,1805,,,50.85045,4.34878
306,1805-Experiences_sur_la-3,II.31,9673.0,"Experiments on the Torpedo, by Messrs. Humboldt and Gay-Lussac. Extracted from a Letter from M. Humboldt to M. Berthollet, dated Rome, 15 Fructid. Year 13","in: The Philosophical Magazine 23:92 (Januar 1806), S. 356–360.",Englisch,London,1806,,,51.50853,-0.12574
307,1805-Experiences_sur_la-4,II.31,10244.0,"Experiments on the Torpedo. By Messrs. Humboldt and Gay Lussac. Extracted from a Letter of M. Humboldt to M. Berthollet; dated Rome, 15 Fructidor, Year 13 (Sept. 2, 1805.)","in: A Journal of Natural Philosophy, Chemistry, and the Arts 13 (Februar 1806), S. 180–184.",Englisch,London,1806,,,51.50853,-0.12574
308,1805-Experiences_sur_la-5,II.31,10574.0,"Versuche über den Zitterrochen. Von A. v. Humboldt und Gay-Lussac. (Aus einem Briefe des erstern an Berthollet, datirt Rom 15. Fruct. 13). Uebersetzt von A. F. Gehlen","in: Neues allgemeines Journal der Chemie 6:2 (1806), S. 166–172.",Deutsch,Berlin,1806,,,52.52437,13.41053
309,1805-Experiences_sur_la-6-neu,II.31,8217.0,Torpille (Expériences sur la),"in: Dictionnaire chronologique et raisonné des découvertes, inventions, innovations, perfectionnemens, observations nouvelles et importations, en France, dans les sciences, la littérature, les arts, l’agriculture, le commerce et l’industrie, de 1789 à la fin de 1820, 17 Bände, Paris: Louis Colas 1822–1824, Band 6 (1824), S. 111–115.",Französisch,Paris,1824,,,48.85341,2.3488
310,1805-Experiences_sur_les-1,II.32,90543.0,"Expériences sur les moyens eudiométriques, et sur la proportion des principes constituans de l’atmosphère","in: Journal de physique, de chimie, d’histoire naturelle et des arts 60:2 (Pluviôse an 13 [Januar/Februar 1805]), S. 129–167, mit einer Tabelle.",Französisch,Paris,1805,"Das Volumgesetz gasförmiger Verbindungen. Abhandlungen von Alex. Von Humboldt und J. F. Gay-Lussac (1805-1808), herausgegeben von W. Oswald, Leipzig 1893, S. 3–20. Davon ein „erster unveränderter Abdruck“ 1921.","Unter dem Titel „Untersuchungen über die eudiometrischen Mittel und über das Verhältniß der wesentlichen Bestandtheile der Atmosphäre, von Alexander v. Humboldt und J. L. Gay-Lussac. (Gelesen in der ersten Classe des Instituts am 21. Januar 1805, abgedruckt im Journal de Physique T. LX. An. XIII (1805) p. 129-167.)“, in: Alexander von Humboldt, Kleinere Schriften. Geognostische und physikalische Erinnerungen, Stuttgart/Tübingen: Cotta 1853, Band 1, S. 315–370.",48.85341,2.3488
311,1805-Experiences_sur_les-2-neu,II.32,79044.0,Versuche über die eudiometrischen Mittel und das Verhältniß der Bestandtheile der Atmosphäre,"in: Neues allgemeines Journal der Chemie 5:1 (1805), S. 45–95.",Deutsch,Berlin,1805,,,52.52437,13.41053
312,1805-Experiences_sur_les-3,II.32,100458.0,"Versuche über die eudiometrischen Mittel, und über das Verhältniss der Bestandtheile der Atmosphäre. Vorgelesen in der ersten Klasse des National-Instituts am 21sten Jan. 1805 Zweiter Teil: Ueber die Natur der Luft, welche man aus dem Wasser erhält, und über die Wirkung des Wassers auf reine und auf vermischte Gastarten","in: Annalen der Physik 20:1 (1805), S. 38–92; 20:2 (1805), S. [129]–146.",Deutsch,Halle,1805,,,51.48158,11.97947
313,1805-Experiences_sur_les-4-neu,II.32,93388.0,"Experiments on the Eudiometrical Means, and on the Proportion of the Constituent Principles of the Atmosphere","in: The Repertory of Arts, Manufactures, and Agriculture 8:45 (Februar 1806), S. 231–239; 8:46 (März 1806), S. 303–318; 8:47 (April 1806), S. 365–381; 8:48 (Mai 1806), S. 449–461.",Englisch,London,1806,,,51.50853,-0.12574
314,1805-Introduccion_a_la-1,II.33,26691.0,Introducción a la pasigrafía geológica del Señor Baron de Humboldt Ü,"in: Andrés Manuel del Río, Elementos de Orictognosia, ó del conocimiento de los fósiles, dispuestos, segun los principios de A. G. Wérner, para el uso del Real Seminario de Minería de México, 2 Bände, Mexico: Zúñiga y Ontiveros 1795–1805, Band 2 (1805), S. 160–173, 3 Tafeln.",Spanisch,Mexico,1805,"Hanno Beck, „Alexander von Humboldts ‚Essay de Pasigraphie‘, Mexico 1803/04“, in: Forschungen und Fortschritte 32:2 (1958), S. 33–39 [Abdruck des Manuskripts unter dem Titel „Essay de Pasigraphie geologique dressée à l’usage de l’Ecole Royale des Mines du Mexique“, S. 35–39].[Faksimile-Abdruck der Übersetzung, mit Einleitung], in: Andrés Manuel Del Río, Elementos de Orictognosia. Edición facsimil, Madrid: Editorial de la Universidad Complutense 1985.",,19.42847,-99.12766
315,1805-Mineralogische_chemische_und-1,II.34,10176.0,Mineralogische-chemische und geognostische Notizen,"in: Neues allgemeines Journal der Chemie 5:2 (1805), S. 229–233.",Deutsch,Berlin,1805,,,52.52437,13.41053
316,1805-xxx_Anzeige-1-neu,II.35,517.0,[Anzeige],"in: Kaiserlich und Kurpfalzbairisch privilegirte Allgemeine Zeitung 39 (8. Februar 1805), S. 156.",Deutsch,Stuttgart,1805,,,48.78232,9.17702
317,1805-xxx_Anzeige-2-neu,II.35,521.0,[Anzeige],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 35 (2. März 1805), Sp. 288.",Deutsch,Halle; Leipzig,1805,,,51.48158,11.97947
318,1805-xxx_Anzeige-3-neu,II.35,521.0,[Anzeige],"in: Intelligenzblatt der Jenaischen Allgemeinen Literatur-Zeitung 28 (11. März 1805), S. 232.",Deutsch,Jena,1805,,,50.92878,11.5899
319,1805-xxx_Note_sur_des-01-neu,II.36,1742.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: Journal des arts, des sciences, et de littérature 6:3:401 (25 Pluviôse an 13 [14. Februar 1805]), S. 257–258.",Französisch,Paris,1805,,,48.85341,2.3488
320,1805-xxx_Note_sur_des-02-neu,II.36,2200.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: La revue philosophique, littéraire et politique 16 (10 Ventôse an 13, 1. März 1805), S. 446–447.",Französisch,Paris,1805,,,48.85341,2.3488
321,1805-xxx_Note_sur_des-03-neu,II.36,1531.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: Journal politique de Mannheim 67 (8. März 1805), S. [2].",Französisch,Mannheim,1805,,,49.4891,8.46694
322,1805-xxx_Note_sur_des-04-neu,II.36,1518.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: L’Abeille du Nord 9:23 (19. März 1805), S. 459.",Französisch,Hamburg,1805,,,53.55073,9.99302
323,1805-xxx_Note_sur_des-05-neu,II.36,1247.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: Abend-Zeitung 23 (20. März 1805), S. 94.",Deutsch,Dresden; Leipzig,1805,,,51.05089,13.73832
324,1805-xxx_Note_sur_des-06,II.36,1882.0,Note sur des poissons rejetés par un volcan au Pérou,"in: Journal de physique, de chimie, d’histoire naturelle et des arts 17:3 [= 60:3] (Ventôse an 13 [Februar/März 1805]), S. 243.",Französisch,Paris,1805,,,48.85341,2.3488
325,1805-xxx_Note_sur_des-07-neu,II.36,1050.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: Intelligenzblatt der Jenaischen Allgemeinen Literatur-Zeitung 35 (27. März 1805), Sp. 285–286.",Deutsch,Jena,1805,,,50.92878,11.5899
326,1805-xxx_Note_sur_des-08-neu,II.36,1211.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: Magasin encyclopédique, ou Journal des Sciences, des Lettres et des Arts 2 (März 1805), S. 177–178.",Französisch,Paris,1805,,,48.85341,2.3488
327,1805-xxx_Note_sur_des-09-neu,II.36,1570.0,Phenomene observé en Amérique,"in: L’Ambigu, ou variétés littéraires et politiques 9:73 (10. April 1805), S. 39.",Französisch,London,1805,,,51.50853,-0.12574
328,1805-xxx_Note_sur_des-10-neu,II.36,1920.0,Voyage de M. Humboldt,"in: L’Esprit des journaux français et étrangers 8 (Floréal an 13, April 1805 [April/Mai 1805]), S. 167–169.",Französisch,Brüssel,1805,,,50.85045,4.34878
329,1805-xxx_Note_sur_des-11-neu,II.36,1082.0,[Note sur des poissons rejetés par un volcan au Pérou],"in: Christian Wilhelm Ritter, Beschreibung merkwürdiger Berge, Felsen und Vulkane. Ein Beytrag zur physikalischen Geschichte der Erde, 2 Bände, Posen/Leipzig: Kühn 1806, Band 2, S. 212.",Deutsch,Leipzig; Posen,1806,,,,
330,1805-xxx_Preface_de_Plantes-1-neu,II.36,13354.0,[Préface de Plantes équinoxiales],"in: Magasin encyclopédique, ou Journal des Sciences, des Lettres et des Arts 4 (1805), S. 198–205.",Französisch,Paris,1805,,,48.85341,2.3488
331,1805-xxx_Sur_le_Guano-1,II.38,3137.0,[Sur le Guano],"in: André Laugier, „Extrait du mémoire de MM. Fourcroy et Vauquelin sur le Guano, ou sur l’engrais naturel des îlots de la mer du Sud, près des côtes du Pérou“, in: Annales de chimie 56:3 (30 Frimaire an 14 [21. Dezember 1805]), S. 258–268, hier S. 258–260.",Französisch,Paris,1805,,,48.85341,2.3488
332,1805-xxx_Sur_le_Guano-2,II.38,2291.0,[Sur le Guano],"in: Antoine François de Fourcroy und Louis-Nicolas Vauquelin, „Mémoire Sur le guano, ou sur l’engrais naturel des îlots de la mer du sud, près des côtes du Pérou“, in: Mémoires de l’institut des sciences, lettres et arts 6 (Januar 1806), S. 369–381, hier S. 369–370.",Französisch,Paris,1806,,,48.85341,2.3488
333,1805-xxx_Sur_le_Guano-3-neu,II.38,2574.0,"Abhandlung über den Guano, oder den natürlichen Dünger der Südseeinseln nahe bey den Küsten von Peru. (Vorgelesen den 5. Frimaire 13.) von Fourcroy und Vauquelin. Uebersetzt von Dr. Meineke","in: Neues allgemeines Journal der Chemie 6:6 (1806), S. 679–691.",Deutsch,Berlin,1806,,,52.52437,13.41053
334,1805-xxx_Sur_le_Guano-4,II.38,7916.0,[Sur le Guano],"in: Martin Heinrich Klaproth, Beiträge zur chemischen Kenntniss der Mineralkörper, 6 Bände, Posen/Berlin: Decker/Heinrich August Rottmann 1795–1815, Band 4 (1807), S. 299–306.",Deutsch,Berlin; Posen,1807,,,,
335,1806-Anzeige_astronomischer_geometrischer-1-neu,II.39,4179.0,"Anzeige astronomischer, geometrischer und physikalischer Instrumente","in: Intelligenzblatt der Jenaischen Allgemeinen Literatur-Zeitung 66 (26. Juli 1806), Sp. 551–552.",Deutsch,Jena,1806,,,50.92878,11.5899
336,1806-Anzeige_astronomischer_geometrischer-2,II.39,4136.0,"Anzeige astronomischer, geometrischer und physikalischer Instrumente","in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 113 (16. August 1806), Sp. 898–900.",Deutsch,Halle,1806,,,51.48158,11.97947
337,1806-Anzeige_astronomischer_geometrischer-3,II.39,4209.0,"Anzeige astronomischer, geometrischer und physikalischer Instrumente","in: Annalen der Physik 23:3 (1806), S. 362–364.",Deutsch,Halle,1806,,,51.48158,11.97947
338,1806-Auszug_aus_einem-1,II.40,9427.0,"Auszug aus einem Schreiben des Königl. Preußischen Kammerherrn, Alexander von Humboldt","in: Monatliche Correspondenz zur Beförderung der Erd- und Himmels-Kunde 14:5 (November 1806), S. 438–444.",Deutsch,Gotha,1806,,,50.94823,10.70193
339,1806-Beobachtungen_ueber_das-1,II.41,67120.0,"Beobachtungen über das Gesetz der Wärmeabnahme in den höhern Regionen der Atmosphäre, und über die untern Gränzen des ewigen Schnees. (Im Auszuge)","in: Annalen der Physik 24:1 (1806), S. 1–49.",Deutsch,Halle,1806,,,51.48158,11.97947
340,1806-Fragment_aus_der-01,II.42,8323.0,Fragment aus der am 30sten Jan. 1806 in der öffentlichen Sitzung der Königl. Akademie gehaltenen Vorlesung: Ideen zu einer Physiognomik der Gewächse,"in: Der Freimüthige oder Ernst und Scherz 4:1:31 (13. Februar 1806), S. 121–123.",Deutsch,Berlin,1806,,"„Ideen zu einer Physiognomik der Gewächse. Ein Abdruck für Freunde“, Separatum, Tübingen 1806, 28 Seiten;„Ideen zu einer Physiognomik der Gewächse. Ein Abdruck für Freunde“, Separatum, Berlin 1806, 29 Seiten;Alexander von Humboldt, Ansichten der Natur, Tübingen: Cotta 1808, S. 157–278;übersetzt als „О физиогномике растений. Пер. акад. А. Ф. Севастьянова“, Separatum, Sankt Petersburg 1823, 42 Seiten.",52.52437,13.41053
341,1806-Fragment_aus_der-02-neu,II.42,10534.0,"Ideen zu einer Physiognomik der Gewächse, von Alexander von Humboldt. Vorgelesen in der öffentlichen Sitzung der königl. preuss. Akademie der Wissenschaften am 30 Januar 1806. 29 S. 8.","in: Jenaische Allgemeine Literatur-Zeitung 3:1:62 (14. März 1806), Sp. 489–492.",Deutsch,Jena,1806,,,50.92878,11.5899
342,1806-Fragment_aus_der-03,II.42,14755.0,Ideen zu einer Physiognomik der Gewächse,"in: Magazin für den neuesten Zustand der Naturkunde, mit Rücksicht auf die dazu gehörigen Hülfswissenschaften 11:4 (April 1806), S. 310–322.",Deutsch,Weimar,1806,,,50.9803,11.32903
343,1806-Fragment_aus_der-04-neu,II.42,9210.0,Ansichten der Natur mit wissenschaftlichen Erläuterungen von Alexander von Humboldt. Zwey Bände. Zweyte verbesserte und vermehrte Ausgabe. Stuttgart und Tübingen in der J. G. Cotta’schen Buchhandlung. 1826. 12.,"in: Literatur-Blatt [Beilage zum Morgenblatt für gebildete Stände] 7 (23. Januar 1827), S. [25]–26.",Deutsch,Stuttgart; Tübingen,1827,,,48.78232,9.17702
344,1806-Fragment_aus_der-05-neu,II.42,8328.0,Die Fülle des Lebens in der Natur,"in: Feyerstunden der edleren Jugend. Erzählungen, Novellen und Skizzen, zur Erheiterung und Belehrung 3:11 (1828), Beilage: Schulblatt (September 1828), S. [85]–91.",Deutsch,Wien,1828,,,48.20849,16.37208
345,1806-Fragment_aus_der-06-neu,II.42,37185.0,Ideen zu einer Physiognomik der Gewächse,"in: Ludwig von Mühlenfels, A Manual of German Literature, Containing Classical Specimens of German Prose and Poetry, Systematically Arranged, 2 Bände, London: J. Taylor 1830, Band 1, S. 181–203.",Deutsch,London,1830,,,51.50853,-0.12574
346,1806-Fragment_aus_der-07-neu,II.42,49236.0,"Ueber die Verbreitung und den verschiedenen Charakter des organischen Lebens, besonders der Pflanzen","in: Georg Ludwig Kriegk, Belehrende Darstellungen für das höhere Jugendalter, Frankfurt a. M.: Brönner 1831, S. 697–719.",Deutsch,Frankfurt am Main,1831,,,50.11552,8.68417
347,1806-Fragment_aus_der-08-neu,II.42,16397.0,"Ueber die Verbreitung und Mannigfaltigkeit des organischen Lebens, besonders der Pflanzen","in: Joseph Willm (Hrsg.), Morceaux choisis de littérature allemande, avec des notes, et de courtes notices sur les auteurs / Auserlesene Stücke aus der deutschen Literatur, mit Anmerkungen und kurzen Notizen über die angeführten Schriftsteller, 2 Bände, Paris/Straßburg: F. G. Levrault 1830–1831, Band 2 (1831), S. 111–120.",Deutsch,Paris; Strasbourg,1831,,,48.85341,2.3488
348,1806-Fragment_aus_der-09-neu,II.42,11462.0,О растенiяхъ [O rastenijach],"in: Syn otečestva i Sěvernyj archiv 45:35 (1834), S. 83–92.",Russisch,Sankt Petersburg,1834,,,59.93863,30.31413
349,1806-Fragment_aus_der-10-neu,II.42,4852.0,О повсемѣстномъ разлитiи жизни [O povseměstnom razlitii žizni],"in: Syn otečestva i Sěvernyj archiv 45:35 (1834), S. 105–108.",Russisch,Sankt Petersburg,1834,,,59.93863,30.31413
350,1806-Fragment_aus_der-11-neu,II.42,7766.0,Allgemeines Bild der Flora auf der Erde,"in: Friedrich Schubart, Deutsche Styl- und Redeschule zu einem leichteren und wirksameren Styl-Unterricht in höheren Lehranstalten beiderlei Geschlechts, Berlin: Gustav Crantz 1837, S. [130]–134.",Deutsch,Berlin,1837,,,52.52437,13.41053
351,1806-Fragment_aus_der-12-neu,II.42,11773.0,Alexander von Humboldt,"in: Apolline Flohr, Course of Instruction of the German Language Foundes on Experience / Leitfaden zur gründlichen Erlernung der deutschen Sprache. Aus den grösseren Lehrbüchern entnommen und auf Erfahrung gegründet. Nebst einer Sammlung, enthaltend Aufsätzer der besten deutschen Schriftsteller und deren Biographie, London [o. V.] 1843, S. 250–256.",Deutsch,London,1843,,,51.50853,-0.12574
352,1806-Fragment_aus_der-13-neu,II.42,11713.0,Alexander von Humboldt,"in: Gustav Schwab (Hrsg.), Die deutsche Prosa von Mosheim bis auf unsere Tage. Eine Mustersammlung mit Rücksicht auf höhere Lehr-Anstalten, 2 Bände, Stuttgart: Liesching 1843, Band 2, S. [97]–103.",Deutsch,Stuttgart,1843,,,48.78232,9.17702
353,1806-Fragment_aus_der-14-neu,II.42,7464.0,Das Leben in der Schöpfung,"in: Friedrich Zimmermann (Hrsg.), Deutsches Lesebuch in Poesie und Prosa zunächst zum Gebrauche der unteren und mittleren Klassen von Gymnasien und Realschulen. In drei Cursen, 3 Bände, Darmstadt: Jonghaus 1843, Band 3, S. 333–336.",Deutsch,Darmstadt,1843,,,49.87167,8.65027
354,1806-Fragment_aus_der-15-neu,II.42,7454.0,Das Leben in der Schöpfung,"in: H. Weissenbach, Literarischer Lehr-Cursus zum Gebrauche der königlichen Militär-Akademie. Leitfaden zum Unterricht in der deutschen Sprache und Literatur für die Kadetten aller Waffen, Breda: Broese 1843, S. 343–345.",Deutsch,Breda,1843,,,51.58656,4.77596
355,1806-Fragment_aus_der-16-neu,II.42,37167.0,Ideen zu einer Physiognomik der Gewächse,"in: Marcus Salomon Krüger (Hrsg.), Naturhistorische Darstellungen aus den vorzüglichsten naturhistorischen Schriften. Ein Lesebuch zur Belebung des Sinnes für Natur und deren Studium, Berlin: Duncker und Humblot 1843, S. 240–260.",Deutsch,Berlin,1843,,,52.52437,13.41053
356,1806-Fragment_aus_der-17-neu,II.42,7207.0,Alexander von Humboldt,"in: Theodor Mundt, Lesebuch der deutschen Prosa. Musterstücke der prosaischen Literatur der Deutschen, nach der Folge der Schriftsteller der Entwickelung der Sprache, Berlin: M. Simion 1844, S. 573–577.",Deutsch,Berlin,1844,,,52.52437,13.41053
357,1806-Fragment_aus_der-18-neu,II.42,7737.0,Allgemeines Bild der Flora auf der Erde,"in: Bibliothek der neuesten deutschen Classiker. Eine Auswahl des Schönsten und Gediegensten aus ihren sämmtlichen Werken. Für Schule und Haus, 40 Bände, Leipzig: Schmaltz [o. J., ca. 1843–1846], Band 24 [ca. 1844], S. 113–119.",Deutsch,Leipzig,1843,,,51.33962,12.37129
358,1806-Fragment_aus_der-19-neu,II.42,15174.0,Ideen zu einer Physiognomik der Gewächse,"in: Deutsche Mustersammlung für die lateinischen Schulen und Gymnasien im Königreiche Bayern, 2 Bände, München: Central-Schulbücher-Verlag 1845–1847, Band 2 (1845), S. 440–448.",Deutsch,München,1845,,,48.13743,11.57549
359,1806-Fragment_aus_der-20-neu,II.42,2835.0,Beauties of Tropical Vegetation,"in: The Bradford Observer 16:821 (1. November 1849), S. 3.",Englisch,Bradford,1849,,,53.79391,-1.75206
360,1806-Fragment_aus_der-21-neu,II.42,838.0,Beautiful Flowering Trees,"in: The Manchester Courier, And Lancashire General Advertiser 26:1497 (2. Februar 1850), S. 51.",Englisch,Manchester,1850,,,53.48095,-2.23743
361,1806-Fragment_aus_der-22-neu,II.42,851.0,Beautiful Flowering Trees,"in: Kentish Gazette, for East and West Kent, Sussex, Surrey, and Middlesex 135:6 (5. Februar 1850), [o. S.].",Englisch,Canterbury,1850,,,51.27904,1.07992
362,1806-Fragment_aus_der-23-neu,II.42,1697.0,Universal Diffusion of Life,"in: Boys’ and Girls’ Magazine and Fireside Companion (1. April 1850), S. 87.",Englisch,"Boston, Massachusetts",1850,,,42.35843,-71.05977
363,1806-Fragment_aus_der-24-neu,II.42,34725.0,Vext-Fysiognomik,"in: Litteraturblad för allmän medborgerlig bildning 7 (Juli 1850), S. 188–197.",Schwedisch,Helsinki,1850,,,60.16952,24.93545
364,1806-Fragment_aus_der-25-neu,II.42,829.0,Beautiful Flowering Trees,"in: Wisconsin & Iowa Farmer, and Northwestern Cultivator 2:12 (Dezember 1850), S. 278.",Englisch,"Racine, Wisconsin",1850,,,42.72613,-87.78285
365,1806-Fragment_aus_der-26-neu,II.42,3296.0,Der Pflanzenwuchs in den Tropen,"in: Franz Adolph Moschzisker, A Guide to German Literature; or, Manual to Facilitate an Acquaintance with the German Classic Authors, 2 Bände, London, J.J. Guillaume 1850, Band 2, S. 480–482.",Deutsch,London,1850,,,51.50853,-0.12574
366,1806-Fragment_aus_der-27-neu,II.42,39538.0,Ideen zu einer Physiognomik der Gewächse,"in: Karl Mager, Deutsches Elementarwerk. Lese- und Lehrbuch für Gymnasien und h. Bürger- (Real-) Schulen, Cadettenhäuser, Institute und Privatunterricht, 3. Auflage, 3 Bände, Stuttgart/Tübingen: Cotta 1850, Band 3, S. 764–777.",Deutsch,Stuttgart; Tübingen,1850,,,48.78232,9.17702
367,1806-Fragment_aus_der-28-neu,II.42,838.0,Beautiful Flowering Trees,"in: The New England Farmer 3:3 (1. Februar 1851), S. 54.",Englisch,"Boston, Massachusetts",1851,,,42.35843,-71.05977
368,1806-Fragment_aus_der-29-neu,II.42,7432.0,Allgemeines Bild der Flora auf der Erde,"in: Martin Gottlieb Wilhelm Brandt, Die Pflanzenwelt, deren Leben, Sinn und Sprache in ältern und neuern Dichtungen. Ein Beitrag zur sinnigen Betrachtung der Natur, Frankfurt a. M.: Heinrich Ludwig Brönner 1851, S. 15–19.",Deutsch,Frankfurt am Main,1851,,,50.11552,8.68417
369,1806-Fragment_aus_der-30-neu,II.42,3061.0,Histoire de la couche végétale du globe,"in: Journal d’agriculture pratique et de jardinage 3:4 (Januar–Juni 1852), S. 264.",Französisch,Paris,1852,,,48.85341,2.3488
370,1806-Fragment_aus_der-31-neu,II.42,28159.0,La physionomie des plantes,"in: La Belgique Horticole, Journal des Jardins, des Serres et des Vergers 2 (1852), S. 155–164.",Französisch,Liège,1852,,,50.63373,5.56749
371,1806-Fragment_aus_der-32-neu,II.42,7411.0,Allgemeines Bild der Flora auf der Erde,"in: Jurende’s Vaterländischer Pilger 40 (1853), S. 280–281.",Deutsch,Wien,1853,,,48.20849,16.37208
372,1806-Fragment_aus_der-33-neu,II.42,7435.0,Das Leben in der Schöpfung,"in: August Berthelt, Julius Jäkel, Karl Petermann und Louis Thomas (Hrsg.), Deutsches Familienbuch. Eine Sammlung von Musterstücken deutscher Poesie und Prosa, 2. Auflage, Leipzig: Julius Klinkhardt 1853, S. 425–427.",Deutsch,Leipzig,1853,,,51.33962,12.37129
373,1806-Fragment_aus_der-34-neu,II.42,25572.0,Physiognomik der Pflanzenformen,"in: Hermann Kletke, Bilder aus dem Weltall in Aufsätzen. Für Lehrer und Freunde der Naturkunde, Berlin: Schroeder 1853, S. 283–293.",Deutsch,Berlin,1853,,,52.52437,13.41053
374,1806-Fragment_aus_der-35-neu,II.42,42069.0,Die Physiognomik der Gewächse,"in: Meyer’s Volksbibliothek für Länder-, Völker- und Naturkunde, 102 Bände, Hildburghausen/New York: Bibliographisches Institut/Herrmann J. Meyer [o. J., ca. 1853–1855], Band 13 [o. J., ca. 1853], S. [69]–90.",Deutsch,"Hildburghausen; New York City, New York",1853,,,50.42553,10.73184
375,1806-Fragment_aus_der-36-neu,II.42,36347.0,Physiognomik der Gewächse,"in: Wilhelm Friedrich Eisenmann, Friedrich Gruner und Johann David Wildermuth (Hrsg.), Deutsche Musterstücke zur stufenmäßigen Uebung in der französischen Composition, 3 Bände, Stuttgart: Metzler 1849–1854, Band 3 (1854), S. 56–69.",Deutsch,Stuttgart,1854,,,48.78232,9.17702
376,1806-Fragment_aus_der-37-neu,II.42,25629.0,Physiognomik der Pflanzenformen,"in: Deutsches Magazin für Garten- und Blumenkunde 20 (1855), S. [305]–314.",Deutsch,Stuttgart,1855,,,48.78232,9.17702
